age,description,has_education,has_family,kongzi_option,kongzi_career_points,kongzi_parents_points,kongzi_children_points,kongzi_health_points,kongzi_friends_points,laozi_option,laozi_career_points,laozi_parents_points,laozi_children_points,laozi_health_points,laozi_friends_points,mozi_option,mozi_career_points,mozi_parents_points,mozi_children_points,mozi_health_points,mozi_friends_points,shang_option,shang_career_points,shang_parents_points,shang_children_points,shang_health_points,shang_friends_points
30,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",yes,yes,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
30,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",yes,no,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
30,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",no,yes,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
30,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",no,no,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
40,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",yes,yes,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
40,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",yes,no,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
40,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",no,yes,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
40,"Your uncle says something problematic during Thanksgiving dinner, and your cousin asks you for backup before she confronts him. What will you say?",no,no,"""Let’s not challenge him publicly as that would disrupt family harmony. We can speak with him in private and model proper conduct ourselves.""",0,1,1,0,1,"""I don't think it'll help to argue with him, especially since it might come off as preachy. Let him learn naturally.""",0,1,-1,1,1,"""A fight helps no one. Let’s intervene in a way that reduces harm and benefits everyone, including him.""",1,0,1,-1,-1,"""Absolutely. He broke the norms, so consequences are necessary. Let’s make sure he learns not to do this again.""",1,-1,1,-1,-1
20,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",yes,yes,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
20,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",yes,no,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
20,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",no,yes,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
20,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",no,no,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
30,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",yes,yes,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
30,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",yes,no,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
30,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",no,yes,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
30,"Your friend is having a quarter-life crisis—after travelling to Japan, joining a run club, and enrolling in grad school, they turn to you for help. What will you say?",no,no,"""Reflect on your life—all your relationships, roles, etc.—and conquer yourself by submitting to ritual.""",-2,1,1,1,-1,"""Try to stop overcomplicating everything. Return to simplicity, nature, and stillness.""",-1,-1,-1,2,1,"""Help people impartially, and purpose will follow—our meaning is in our collective contribution.""",-1,-1,-1,1,2,"""Your value is determined by your service to the state—follow regulations, fulfill your assigned role, and get over your crisis because, frankly, it's irrelevant.""",2,1,1,-1,-1
30,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
30,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
30,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
30,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
40,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
40,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
40,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
40,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
50,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
50,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
50,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
50,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
60,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
60,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
60,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
60,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
70,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
70,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",Yes,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
70,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,Yes,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
70,"Your parents are getting old, and your siblings are arguing over who should take care of them. What will you do?",No,No,"Filial piety is an important virtue, so I should try to help take care of them.",-1,2,1,0,-1,"Let the situation naturally resolve itself—if my parents really need me, they'll reach out.",1,-1,1,1,1,It would depend on cost-benefit analysis—whoever is making the least amount of money has the smallest opportunity cost.,1,-1,0,1,0,Try to get my siblings to comply with what I want via strict punishments.,1,-1,-1,1,-2
20,"Congratulations, you started a new job! What type of worker will you be?",Yes,Yes,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
20,"Congratulations, you started a new job! What type of worker will you be?",Yes,No,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
20,"Congratulations, you started a new job! What type of worker will you be?",No,Yes,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
20,"Congratulations, you started a new job! What type of worker will you be?",No,No,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
30,"Congratulations, you started a new job! What type of worker will you be?",Yes,Yes,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
30,"Congratulations, you started a new job! What type of worker will you be?",Yes,No,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
30,"Congratulations, you started a new job! What type of worker will you be?",No,Yes,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
30,"Congratulations, you started a new job! What type of worker will you be?",No,No,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
40,"Congratulations, you started a new job! What type of worker will you be?",Yes,Yes,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
40,"Congratulations, you started a new job! What type of worker will you be?",Yes,No,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
40,"Congratulations, you started a new job! What type of worker will you be?",No,Yes,"I'll follow the lead of my seniors. In time, I'll cultivate myself into a model employee so that others may follow my example.",2,-1,-1,-1,1,"I'll simply go with the flow—whether I get promoted or fired, that's just another transformation.",-1,1,1,2,2,"I’ll work hard to bring the most benefit to the company. If I get promoted, that's just evidence of my contribution.",3,-1,-1,-1,-1,I'll obey the rules and avoid getting fired. Advancement comes through strict compliance whereas failure comes with consequences.,1,1,1,1,1
